item_id,review_text,judgment,confidence,notes
R005,"While the theory part of the module was okay, I want to share the story about how the software dev project stressed me out so much. I'm not exaggerating, there were times I honestly couldn't breathe. I wish you had informed us from the beginning about the technologies we'd need, and warned us to get them properly set up in advance. (In my case, there was problem after problem setting up localhost and the databases on my laptop, and there were so many times I had to rely on others' work and panicked that I would fail this module's CA) We were so lost when it came to learning all those new things at once. It would have been better if the OOSD practical slots were used to actually teach us how to use PHP, MySQL type technology in the perspective of web development, instead of having outsiders come and do those loosely structured workshops which were from a general perspective. I feel like it would have been so helpful to learn them with some structure, rather than us haphazardly googling and putting together pieces of code to make the project. Another thing - Not only me but most of the others agree - the Zoom evaluations for the project were the worst thing we've been through in the semester. They stressed us all out so much. I believe the reps sent feedback asking not to evaluate the project during the online period, but they were done anyway. I don't know, maybe I have mental problems, but that project has been the single most stressful thing in my university life. And this was during the corona vacation. I can't imagine how much worse it would have been if the regular semester had been going on. I'm sorry for getting so upset on here. I understand that you are trying to do the best, and, of course software dev cannot be taught without a project like this. I just want to say, please try to make it easier for the next batches. Give them some structure from the beginning. Thanks for reading this.",,,
R038,It was very good and able to understand well with the teaching method.We were able to logically understand the taught concepts within the class.Thank you.,,,
R033,"Dear madam, i don't have any complaints against you. You always motivate us to working on this subject and ask questions. Thank You for being a good lecturer.",,,
R016,Very Very Hard .His time is spent on learning to graph demand .Too many assignments and the final is really hard .Not recomended .,,,
S030,"I took Machine Learning with Prof. Cohen mainly because I needed it for a specialization, and I wasn’t sure what I’d signed up for—proofs make sense to me, but systems work tends to stress me out, so I came in feeling cautiously confident yet wary of the tooling maze. The pacing dragged in the middle of the term, especially when deadlines kept piling up and the tooling hiccups kept throwing me off; the platform would glitch or the repo wouldn’t sync right when I was juggling another hard class, and it felt like I was scrambling to regather momentum. I did feel like I learned a lot, especially by the late-semester turning point when we finally got a clearer sense of the core ideas, but the overall experience left me with a constant sense of drift—the lectures are recorded and useful, but they read as dry and rarely sparked much engagement, which didn’t help when attendance faded. The requirements skew toward report-heavy work and lengthy writeups, which is fine for me since I can follow proofs, but the feedback came sparsely until it was basically too late to fix anything meaningful. I’d recommend it only if you’re prepared to push through the rough patches with solid time management and a tolerance for late feedback.",,,
S038,"I took Cyber Security Basics mostly because it’s needed for a specialization, and I’m comfortable with proofs but not so much with systems work; the lectures were clear and paced fine, but the platform kept failing before deadlines and the feedback dragged in too late, which really stung during the graded assignment 3, where I struggled with the practical questions.",,,
R018,Lectures were well planned and explained the OOP concepts using real world examples. Mid examination and the viva helped me to check my knowledge in OOP. The examples discussed in tutorial classes were very useful to get an understanding about the concepts and to practice writing codes. The lecturs were kind of discussions among students and students were free to ask questions about the subject,,,
R040,"lover her. She\'s very interested in what she\'s going, and when we have group discussions she sometimes sits with us and just talks to us like regular people. I really recommend her, she\'s a great person.",,,
S022,"I’m in my last semester and this advanced elective still felt like it dragged more than it should have, mostly because the workload was heavy and the tooling kept misfiring right when I needed to meet a deadline. Prof. Cohen is solid enough in person, but the course relies so much on long, report-heavy assignments that I spent more time formatting and chasing data than actually thinking through the concepts, which was rough given I had enough time but inconsistent motivation. The forums helped sometimes, though they could be dismissive when questions touched on the quirks of the workflow, and I found the peer discussions to be where I learned the most, especially when comparing notes on how others approached the same data model exercises. The real kicker was the deadline pattern—stacked weeks with multiple deliverables and a few tool hiccups that made those weeks feel endless, like the deadline weeks were intentionally harsher. Compared to another course in the term, this one demanded more time spent on compiling a coherent report than on understanding the core ideas, but I would still recommend it to people who want the privilege of wresting with real, heavy data setups. One standout moment was a late-evening incident where the database export failed and we had to improvise a backup plan; it stuck with me because it showed the fragility of the tooling in practice.",,,
S015,"I started Cyber Security Basics hopeful, but the grading left me frustrated and I felt review quality shift a lot by assignment. I’m new to this stuff, and the lectures were useful though dry, while midterm crunches and mostly solo work didn’t help the vibe.",,,
S035,"I’m new to this stuff, and Cyber Security Basics started out rough because I kept tripping over a confusing early concept, which made the rest feel exhausting even though the lectures were clear and paced fine. The grading rubrics were vague, but I’d still recommend it to others starting out.",,,
R032,software and other tools that need us to implement project are not taught to us. through the programming challenge we only get basic idea.,,,
