approach,gold_missed,broad_wrong_predicted,count
openai-gpt-5.4-zero-shot-glossary,lecturer_quality,overall_experience,2
openai-gpt-5.4-zero-shot-glossary,interest,overall_experience,2
openai-gpt-5.4-zero-shot-glossary,relevance,interest,2
openai-gpt-5.4-zero-shot-glossary,lecturer_quality,interest,2
openai-gpt-5.4-zero-shot-glossary,practical_application,interest,2
openai-gpt-5.4-zero-shot-glossary,accessibility,overall_experience,2
openai-gpt-5.4-zero-shot-glossary,accessibility,interest,2
openai-gpt-5.4-zero-shot-glossary,assessment_design,interest,2
openai-gpt-5.4-zero-shot-glossary,difficulty,interest,2
openai-gpt-5.4-zero-shot-glossary,support,overall_experience,2
openai-gpt-5.4-zero-shot-glossary,materials,interest,2
openai-gpt-5.4-zero-shot-glossary,organization,interest,2
openai-gpt-5.4-zero-shot-glossary,clarity,overall_experience,2
openai-gpt-5.4-zero-shot-glossary,exam_fairness,interest,2
openai-gpt-5.4-zero-shot-glossary,pacing,interest,1
openai-gpt-5.4-zero-shot-glossary,exam_fairness,overall_experience,1
openai-gpt-5.4-zero-shot-glossary,practical_application,overall_experience,1
openai-gpt-5.4-zero-shot-glossary,materials,overall_experience,1
openai-gpt-5.4-zero-shot-glossary,prerequisite_fit,overall_experience,1
openai-gpt-5.4-zero-shot-glossary,difficulty,overall_experience,1
openai-gpt-5.4-zero-shot-glossary,relevance,overall_experience,1
openai-gpt-5.4-zero-shot-glossary,tooling_usability,overall_experience,1
openai-gpt-5.4-zero-shot-glossary,organization,overall_experience,1
